Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Охріменко,Теодор,Іванович,чоловіча,1932-05-08,Фізик,селище Кам'янка (Черкаська область),"шосе Старицького, буд. 3, Рогатин, 70690",351 42 51,geregafrants@example.org
Ільєнко,Оксана,Вікторівна,жіноча,1939-11-02,Астронавт,хутір Новий Буг,"вулиця Достоєвського, буд. 7 кв. 610, Нетішин, 82707",081 051-57-60,riabovilievhen@example.net
Лаба,Ліза,Ярославівна,жіноча,1984-05-02,Фармацевт,селище Теребовля,"вулиця Василя Кандинського 3-й, буд. 36, Чугуїв, 01531",+380 45 631-39-95,onysym53@example.com
Бандура,Василина,Михайлівна,жіноча,2006-03-13,Нотаріус,хутір Глухів,"шосе Юхима Фесенка, буд. 0 кв. 94, Ясинувата, 64514",+380 45 861-39-10,drobiazkovadym@example.net
Слюсар,Христина,Олександрівна,жіноча,1972-05-09,Філолог,село Бровари,"набережна Панченка, буд. 5, Зіньків, 11723",829 40 77,nehodaamvrosii@example.com
Рудик,Аніта,Михайлівна,жіноча,2005-06-29,М'ясник,хутір Ніжин,"шосе Гвоздичний, буд. 733, Гірник , 31051",011 80 41,bpavlychenko@example.com
Дубас,Петро,Григорович,чоловіча,1953-02-26,Електромонтажник,селище Охтирка,"вулиця Корнюшина, буд. 8 кв. 849, Курахове, 36026",003 048 88 95,talanielysei@example.net
Петренко,Євген,Григорович,чоловіча,1932-07-28,Електрослюсар,село Добромиль,"парк Райдужна, буд. 82, Вільнянськ, 31730",+380 (23) 173-99-88,wkyrylenko@example.com
Гузенко,Георгій,Захарович,чоловіча,1996-01-30,Кінорежисер,село Герца,"узвіз Картамишевська, буд. 799 кв. 520, Липовець, 74350",902-34-51,lchervonenko@example.org
Ванченко,Амалія,Іванівна,жіноча,1973-05-27,Лікар,місто Решетилівка,"вулиця Липнева, буд. 076, Городок, 27521",+380 22 270-01-37,maryna79@example.com
Матяш,Дмитро,Федорович,чоловіча,2007-04-19,Фізик,селище Нова Каховка,"проспект Лютневий 2-й, буд. 6 кв. 537, Кіцмань, 22783",+380 85 453-58-44,odubyna@example.net
Тригуб,Святослава,Юріївна,жіноча,1947-06-27,Водій,село Пустомити,"парк Литовська, буд. 382, Оріхів, 77640",+380 08 267 52 72,prykhodkokhoma@example.org
Чаленко,Богданна,Леонідівна,жіноча,1951-08-05,Доцент,хутір Кадіївка,"набережна Скляний 2-й, буд. 847 кв. 8, Городище , 49526",+380 86 493-83-71,albertvakhnii@example.net
